name,lat,lng,rating,opening_hours,direccion,ciudad,rubro
Museo de Historia Natural de Valparaíso,-33.046478,-71.621171,4.8,{'open_now': False},Condell 1546,"Valparaiso,Chile",museo
Museo Baburizza,-33.040463,-71.628784,4.8,{'open_now': False},,"Valparaiso,Chile",museo
Museo Naval Y Maritimo,-33.031976,-71.63118,4.7,{'open_now': False},Veintiuno de Mayo 45,"Valparaiso,Chile",museo
National Museum of Fine Arts,-33.435347,-70.643551,4.6,{'open_now': False},"José Miguel de La Barra 650, Santiago","Valparaiso,Chile",museo
Casa de Isla Negra,-33.442945,-71.683836,4.6,{'open_now': False},"Poeta Neruda s/n, Isla Negra, El Quisco","Valparaiso,Chile",museo
Baburizza Palace,-33.040448,-71.62876,4.6,{'open_now': False},Monte Alegre 132,"Valparaiso,Chile",museo
Museo Mirador Lukas,-33.041208,-71.626785,4.5,,P.º Gervasoni 448,"Valparaiso,Chile",museo
Museo de Arqueología e Historia Francisco Fonck,-33.019815,-71.549915,4.5,{'open_now': False},"4 Nte. 784, Viña del Mar","Valparaiso,Chile",museo
La Sebastiana Museo de Pablo Neruda,-33.053871,-71.622612,4.4,{'open_now': False},Ricardo de Ferrari 692,"Valparaiso,Chile",museo
Historical Museum of Placilla,-33.110058,-71.572033,4.3,{'open_now': False},Calle del Tranque 571,"Valparaiso,Chile",museo
Museo a Cielo Abierto,-33.048319,-71.622331,4.2,{'open_now': True},Labruyere 284,"Valparaiso,Chile",museo
Museo Municipal de Bellas Artes de Valparaíso,-33.046178,-71.62131,4.2,{'open_now': False},Condell 1525,"Valparaiso,Chile",museo
Lord Cochrane's Museum,-33.038602,-71.63037,4.1,,Merlet 195,"Valparaiso,Chile",museo
Distribuidora Mares del Sur,-33.051252,-71.608444,5.0,,Van Buren 2654,"Valparaiso,Chile",pescados
Aires Porteños,-33.02235,-71.633721,4.6,{'open_now': False},Altamirano 1595,"Valparaiso,Chile",pescados
Tres Peces Valparaíso,-33.042338,-71.626491,4.5,{'open_now': False},Subida Concepción cerro Concepción 261,"Valparaiso,Chile",pescados
Mar de Amores,-33.042702,-71.627761,4.3,{'open_now': False},Almte. Montt 336,"Valparaiso,Chile",pescados
Playa Caleta Portales,-33.031367,-71.590557,4.3,{'open_now': True},Av. España 2351,"Valparaiso,Chile",pescados
PortoViejo,-33.035491,-71.630464,4.3,{'open_now': True},Cochrane 90,"Valparaiso,Chile",pescados
MARISQUERIA paseo del mar,-33.042928,-71.624595,4.2,{'open_now': False},"Pl. Aníbal Pinto 1167, Valparaíso, 2340000","Valparaiso,Chile",pescados
Frigorifico Victor Mancilla Y Compania Limitada,-33.035232,-71.588648,4.2,{'open_now': False},Philippi 195,"Valparaiso,Chile",pescados
El Rincon de Pancho,-33.045143,-71.607755,4.2,{'open_now': False},Uruguay 125,"Valparaiso,Chile",pescados
Caleta Portales Restaurant,-33.032395,-71.591169,4.2,{'open_now': False},"Acceso A Caleta Portales, Juan de Saavedra 2171, local 1, Valparaíso","Valparaiso,Chile",pescados
